# account,total,base,early,referral,loyalty,guaranteed
13YU1LAu5qqUJjr4R1LYVmovGSp1xHy693QEF28oCbwEwd5X,50.28042,38.382,7.6764,1.9191,2.30292,0
16FrJvCQhe5VuKQE2njK9attc7ef12PiXidREheDJARsRLsE,21.0,17.5,3.5,0,0,0
13DcmfJKMovcEuhTABkoZjN8yUj3diXiGRgYN6FCpsbMHP5R,20.475,16.25,3.25,0,0.975,0
1kArtkdCUsKwkqgKQ1kBn48Qn1qYU6DMyR3ksvyMxrTF3MW,312.5,250.0,50.0,12.5,0,0
13EUDHrE5oGESD3j5gfGpwzKdU3oxs8Kg42eSfSUTRdfnr8R,33.125,25.0,5.0,3.125,0,0
1392ALS7FFk2bzshnaxa3rXQoU5WarmCwJYXs9A4vdaGfSqZ,30.0,25.0,5.0,0,0,0
15AsnrCpTyG1qrFnRu7FBXTzTRPfrA88ypKogLZT3Uw5wv2o,15.0,12.5,2.5,0,0,0
16hv5LEsCMSdWkx7WbKC2PqvD8gbtejgFH3iVEoU6jwdPtYw,31.25,25.0,5.0,1.25,0,0
13gdbG6czVXWv5MqfoLsUSXkGV696bu68wktBAVe5Lp3YXre,56.25,45.0,9.0,2.25,0,0
13ottNG5LyGrYu8mfX1iwS5JDCAb3EUnJYe55Uca34M18Qqf,63.0,52.5,10.5,0,0,0
14mQNxtoGGzubTqa6c4kKqJoXQ1jg5AucjssJa5mmL3XiXMU,15.625,12.5,2.5,0.625,0,0
1TpVM1KxsTtWQHQYpjXFrWWnwC1cqQRcL2HGpsjRGCZWcyg,31.25,25.0,5.0,1.25,0,0
15mcG66RHLb8iFe58rG4QpvjuVoec4h3idNZUUi95ZjUray2,31.25,25.0,5.0,1.25,0,0
13uXmBt15iRPkYGnuzVkyhacQgHk26RGvJ7WyUCvhPsx2evY,163.75,125.0,25.0,6.25,7.5,0
126xWYGhMPkkY5gSJQyPvPhW6ajMb2zHdCrv4hP8JxDSgRfC,15.625,12.5,2.5,0.625,0,0
14ftb8f8NsfyY63WcPGy6pjvpdmibfAJUu6RSWBg5Vq37S4K,125.0,100.0,20.0,5.0,0,0
16SrKQfioNAw7Gx7ZF25NKL1QXsRrLSaXrvBRdjShb77iEv9,15.625,12.5,2.5,0.625,0,0
1EyC1aVnoFvHD6cvnvnYsceTXFav2imLthGMAWYF27RJ5AB,32.75,25.0,5.0,1.25,1.5,0
162L4eBTdbXze3Q4aVd72HTRSFZ8XmbtNnxE5Lpugj8rEvoK,120.0,100.0,20.0,0,0,0
16eoGytTLSq9psdrLk2CYwkEXGz6E8Qs68spEoWU4VmVwK3v,157.5,125.0,25.0,0,7.5,0
15apieQcJGUjWv9Db3NrawYMkHy6nETLgUmD4dZAorFVKjqn,15.625,12.5,2.5,0.625,0,0
129Z1yevND5kZKWaJNKY8Q1wjT6JBqqZX8ySkpruK5mbSMZa,31.25,25.0,5.0,1.25,0,0
152YDGEaKq9hGYV3bJFwe5UanarvEZjGS8aEQr5ATD37NE5D,18.0,15.0,3.0,0,0,0
13drFHgGDnVfcrs5qjPqcaWaJ6sQLqpJPiVwFJLsNsCWMvkD,15.625,12.5,2.5,0.625,0,0
15uQZ3swXPWQNjgbuhMqcazZgpT3WYViZ1FgmqhfJ7sFR7RB,1250.0,1000.0,200.0,50.0,0,0
15VWCSotvfvFYcy3NtisrVSXyN3znMuEzkjz66LF1hyQmUgL,140.625,112.5,22.5,5.625,0,0
12R98k5eiYWLWRaByztKYPCmX2qu5AnqHzGNbd9cuBmQXBER,49.125,37.5,7.5,1.875,2.25,0
1LEC7pyDoEGrLHJh2eFScDGR3nyx8aDWKsAzvps6BQS7Dft,337.5,230.0,46.0,61.5,0,0
14PjNs9W1xFktHRJKrZqUAsg9596cEiDiJjuDhBoyPMPaz2V,129.6875,103.75,20.75,5.1875,0,0
16X66xYWRkjNosh3okho6db1AMMzoARn3qpQsw6fChaiwNZV,781.25,625.0,125.0,31.25,0,0
15oVUTXwr9MdY1XWGmccSCrNc3gtoEMdT5pPYmsoHoEmpop2,150.0,125.0,25.0,0,0,0
162DHjnbo6YLbnJz2dHf6izsZggzk5RAook8uFg9Y1Pkxoky,21.0,17.5,3.5,0,0,0
1CL9SKC9YdJSJ6WqJ1snNkUt8KRZHnaGtBWJcnHehvCigYC,900.0,750.0,150.0,0,0,0
